bnti,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND
7.742149277,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
8.024470008,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
8.198767184,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
8.178106034,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
8.232963493,0.155652896,1439,111.9,41.783,12.28700013,2.131000004,1.406818182,8.154545455,0.230591297,52.93057851
8.114236441,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
7.758615487,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
7.880152806,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
7.887330653,0.331401775,1366,116.16,42.01,15.80799973,3.179000018,1.31839876,8.083367769,0.327047825,54.02696281
7.871138517,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.8279914,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.749287217,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.659748319,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.468227309,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
6.777832873,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.552890127,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.306791225,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.980175497,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.544343428,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.49616833,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.284324222,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.465489249,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.566614682,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.042933337,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.813665149,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.81497587,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.170163445,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
6.828386248,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
6.906308038,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.172364964,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.360334501,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.405897828,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.431630801,0.126339018,1866,100.715,39.1864,6.099999905,1.613200027,1.416696281,8.241095041,0.119456522,46.15708678
7.528581178,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.65537383,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.637030759,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.98018061,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.79476316,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
6.657880406,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
6.71931956,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.52896145,0.385488663,3383,100.5836,37.2939,35.51308777,3.430000041,1.213655682,7.902164773,0.383673906,42.91401705
7.323586606,0.26492803,1629,106.8333,37.1,16.54320019,2.149599977,1.294729339,8.102231405,0.259452164,37.74016529
7.286679701,0.26492803,1629,106.8333,37.1,16.54320019,2.149599977,1.294729339,8.102231405,0.259452164,37.74016529
7.681165346,0.26492803,1629,106.8333,37.1,16.54320019,2.149599977,1.294729339,8.102231405,0.259452164,37.74016529
7.484153909,0.123361507,1870,100.75,39.2,6.774999976,1.550000012,1.423677686,8.264979339,0.106213041,48.95206612
8.338097697,0.123361507,1870,100.75,39.2,6.774999976,1.550000012,1.423677686,8.264979339,0.106213041,48.95206612
8.49337065,0.123361507,1870,100.75,39.2,6.774999976,1.550000012,1.423677686,8.264979339,0.106213041,48.95206612
6.979451863,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712
6.826701734,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712
7.319484569,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712
6.947744583,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061
6.570709455,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061
6.573472864,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061
5.933658919,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
7.361454287,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
7.349024386,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
7.061455722,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374
7.158929616,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.396482037,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.462508574,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.098682536,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.011688438,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.003535466,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.62213587,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.76995183,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.461710765,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861
7.85353793,0.071069784,1888,97.930497,39.838783,8.609131531,1.402457794,1.400747965,8.051382955,0.069991305,41.58232714
7.832363386,0.085735941,2172,97.788113,39.762238,13.3669091,1.992875271,1.346354921,8.061634091,0.099182606,43.96418626
7.646561341,0.169332324,3173,97.702177,39.605533,21.26698428,1.91639598,1.176346247,7.60121646,0.185247824,44.58728042
7.628203149,0.196189135,3565,97.68075,39.476482,28.13822031,2.622689054,1.192243496,7.577170455,0.166356519,42.06138918
7.367461403,0.271452008,4229,97.651752,39.363582,36.53618138,3.247419537,1.216007779,7.418093182,0.139443472,40.30407907
7.706666768,0.198826025,3403,97.880003,39.309462,19.90534288,2.252869297,1.159267803,7.680071807,0.140986949,42.60499183
7.748026537,0.243705832,3420,98.176408,39.11318,27.20024114,2.491840008,1.17426577,7.476291698,0.182004347,41.06764096
7.685475192,0.35045681,3351,99.578432,38.433893,63.03528967,3.969347947,1.14163614,7.603257237,0.35339129,42.39645863
7.896363918,0.354809082,3245,99.72065,38.361722,46.31627086,3.700000048,1.094747001,7.694210142,0.301517397,42.21484929
7.761810686,0.357192021,3141,99.851733,38.289237,35.34408437,3.329513396,1.108211202,7.716690311,0.28048262,41.4187122
7.886904488,0.355389786,3088,99.995093,38.232072,56.41670407,3.81157332,1.116842727,7.511971144,0.287130445,42.31704937
7.947589595,0.334656265,2837,100.104153,38.222858,37.60803954,3.248428059,1.115623592,7.631215771,0.254243493,37.67143699
8.047668266,0.361812754,3044,100.365418,38.082083,50.64554648,3.665003998,1.141508716,7.627152974,0.328973919,43.33194725
7.787379408,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
7.715640524,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.649504252,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.431131184,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.632850925,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.524360647,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
7.187878147,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
7.299337183,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
7.241394228,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.659591203,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.83588659,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.617982379,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.476782963,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
9.313802912,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
9.031839843,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.426339426,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194
8.94306333,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.720499472,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.920461384,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.94566532,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.399899763,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.330302765,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.186363896,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.251018845,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.037377429,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.29555766,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.889083994,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.059654723,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.006392817,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.192035406,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.057612108,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.810720722,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.566432152,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.280389945,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
8.652444244,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
9.332424508,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.111068174,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.765395151,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.330549678,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
6.886477743,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375
7.505209644,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
7.108338784,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
7.998928936,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
8.004592479,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
7.699519484,0.218000786,1584,107.2167,37.7,7.974000023,1.550000012,1.358417355,8.263636364,0.229399994,51.37268595
7.989947283,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.986780597,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
8.196991051,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.923262336,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.992511848,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.738712525,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.99427333,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.832902993,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.672977961,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.843132582,0.622978933,2546,101.2024,28.6828,74.17399577,5.926529714,1.01078595,6.250256198,0.562852144,42.13255372
7.810709569,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
8.139589157,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
8.153619618,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
8.101209677,0.1555151,1439,111.8947,41.7786,12.73340138,2.205875242,1.408818182,8.148522727,0.189569563,53.11879778
